id,x_minimo,x_maximo,y_minimo,y_maximo,peso_da_placa,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aço_A300,tipo_do_aço_A400,espessura_da_chapa_de_aço,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientaçao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
0,154,169.0,260124,260136,100,75,27,17,9948.0,143.0,1364,Não,sim,40.0,8.079.956.986.765.760,2.258,5.833,0.8,11,5.556,7.059,14.901.424.590.336.900,14.901.424.590.336.900,0.0,1.8751,1.1761,1.0792,-0.2,362,3.068,125,FALSE,0,FALSE,FALSE,não,FALSE,Sim
1,1121,-186.0,1789332,1789337,100,-206,9,-194,2240.0,150.0,-214,Não,sim,50.0,797.907.206.368.532,3.412,5.143,7.143,52,7.778,8.333,-414.792.903.513.554,-414.792.903.513.554,0.0,1.2305,8.451,699,-2.857,294,1.441,115,FALSE,FALSE,FALSE,TRUE,Não,FALSE,Não
2,41,216.0,2708878,2708939,100,6298,275,134,654634.0,126.0,1358,não,sim,40.0,8.087.197.048.276.660,604,0.41,3.486,1.289,6.364,4.552,-8.996.214.192.594.130,-54.971.962.461.439.800,0.0,3.7992,2.243,1.7853,-6.514,-1.879,1.0,42,FALSE,FALSE,TRUE,FALSE,não,FALSE,Não
3,129,157.0,86408,86427,100,276,39,26,33858.0,135.0,1362,Não,Sim,40.0,7.748.224.695.837.090,1.894,4.812,6.786,206,7.179,7.308,2.546.862.386.013.200,45.103.519.272.356.700,0.0,2.4409,1.4472,1.2787,-3.214,-416,8.223,115,FALSE,FALSE,TRUE,FALSE,não,FALSE,Não
4,436,442.0,4959398,530985,100,63,17,17,6374.0,116.0,1356,1,Não,70.0,7.385.454.987.445.380,6.431,3.823,3.529,44,3.529,1.0,9.297.539.875.829.990,-7.024.601.241.700.070,1.0,1.7993,7.782,1.2305,6.471,-2.096,2.083,90,FALSE,TRUE,FALSE,FALSE,Não,FALSE,Não
5,-11,-186.0,590440,590503,100,-206,198,119,637317.0,125.0,1358,Não,Sim,40.0,7.612.150.100.991.970,574,3.789,4.013,1.156,7.929,5.294,-7.024.108.708.475.410,9.297.589.129.152.450,0.0,3.7884,2.1959,1.7993,-5.987,-1.895,1.0,45,FALSE,FALSE,TRUE,FALSE,não,FALSE,Não
6,39,217.0,1359602,1359742,100,10276,552,319,1187807.0,141.0,1400,Não,Sim,40.0,626.399.200.184.873,557,5.876,7.865,1.271,3.225,4.389,47.376.384.465.221.700,14.737.638.446.522.100,0.0,4.0118,2.2504,2.1461,-2.135,-97,1.0,25,0,FALSE,TRUE,FALSE,não,FALSE,Não
7,43,200.0,696884,696948,100,-206,206,129,626256.0,125.0,1358,não,sim,40.0,8.695.075.982.704.370,633,397,4.076,1.156,7.621,4.961,9.462.854.311.615.210,14.664.298.956.386.200,0.0,3.7824,2.1959,1.8062,-5.924,-1.925,1.0,45,FALSE,FALSE,TRUE,FALSE,não,FALSE,Não
8,772,777.0,1436089,1436092,100,11,-229,3,1398.0,135.0,1358,Não,Sim,50.0,8.482.096.152.960.380,8.557,2.667,0.6,37,1.0,1.0,-14.084.231.578.048.500,-14.084.231.578.048.500,0.0,1.0414,699,4.771,-0.4,-71,1.284,111,FALSE,FALSE,FALSE,TRUE,Não,FALSE,Não
9,41,-186.0,1505915,1505982,100,6494,315,145,671353.0,127.0,1356,Não,sim,40.0,10.011.599.300.525.700,605,4.332,3.918,1.261,5.429,4.621,1.627.680.130.757.890,11.627.680.130.757.800,0.0,3.8125,2.233,1.8261,-6.082,-1.923,1.0,38,FALSE,FALSE,TRUE,FALSE,não,FALSE,Não
10,843,-186.0,6712,6724,100,98,14,12,9016.0,102.0,1356,Não,sim,40.0,6.804.480.406.337.330,7.434,926,0.75,66,6.429,1.0,-10.387.964.380.170.500,-7.540.541.269.458.430,1.0,1.9912,9.542,1.0792,0.25,-2.813,215,82,FALSE,FALSE,FALSE,FALSE,não,FALSE,Sim
11,1331,1336.0,4270168,4270218,100,177,15,50,17388.0,126.0,1360,Sim,não,100.0,75.964.160.284.971,353,292,0.1,37,3.333,1.0,-13.971.892.607.107.700,-13.971.892.607.107.700,1.0,2.248,699,1.699,0.9,-2.325,4.138,65,1,FALSE,FALSE,FALSE,não,FALSE,Não
12,-11,835.0,1553913,1553931,100,71,8,19,7972.0,125.0,1623,sim,Não,100.0,9.166.986.698.025.060,971,3.426,3.333,37,0.75,9.474,7.258.868.146.981.020,7.258.868.146.981.020,1.0,1.8513,7.782,1.2553,6.667,-1.228,215,99,TRUE,FALSE,FALSE,FALSE,Não,FALSE,Não
13,41,210.0,-20,4440576,100,5688,303,154,598976.0,125.0,1356,Não,Sim,40.0,835.889.016.101.163,605,4.572,3.669,1.246,5.578,4.026,-5.739.840.733.973.390,42.601.592.660.266.000,0.0,3.755,2.2279,1.7924,-6.331,-1.773,1.0,43,FALSE,FALSE,TRUE,FALSE,Não,FALSE,Não
14,5261,643.0,1969029,1969068,100,365,39,40,39229.0,126.0,1710,sim,Não,-154.0,963.153.741.096.369,7.322,4.495,4.359,99,4.359,975,-5.174.753.497.539.090,-5.174.753.497.539.090,1.0,2.5623,1.2305,1.5911,5.641,-1.603,9.172,91,FALSE,FALSE,FALSE,nao,não,FALSE,Sim
15,435,729.0,4737382,4737394,100,1851,304,87,201109.0,132.0,1352,sim,Não,100.0,9.476.269.079.141.930,6.435,4.753,408,2.175,9.671,1.379,-1.686.862.587.722.910,-1.686.862.587.722.910,0.0,3.2674,2.4683,1.0792,-9.592,-1.512,1.0,947,FALSE,FALSE,FALSE,FALSE,Não,FALSE,Sim
16,1214,1222.0,737538,737568,100,147,28,31,16908.0,133.0,1362,Não,Sim,175.0,5.570.088.544.924.060,2.056,3.875,2.667,59,2.857,9.677,6.961.506.638.996.720,-3.038.493.361.003.270,1.0,2.1673,9.031,1.4771,7.333,-1.014,3.977,105,FALSE,TRUE,FALSE,FALSE,Não,FALSE,Não
17,7734,1103.0,4532922,4532948,100,364,99,60,41956.0,133.0,1358,sim,não,-154.0,8.257.370.946.111.850,3.756,6.111,7.222,265,3.636,4.333,9.427.419.977.858.210,9.427.419.977.858.210,0.0,2.5611,1.5563,1.415,-2.778,-995,9.856,99,FALSE,FALSE,FALSE,FALSE,Não,TRUE,Não
18,39,195.0,1863816,-166,100,13037,623,387,1505833.0,143.0,1402,Não,Sim,40.0,8.262.650.604.632.740,556,5.647,8.125,1.113,2.504,4.961,-27.240.722.265.636.300,7.275.927.773.436.360,1.0,4.1152,2.1931,2.2833,1.875,-976,1.0,35,FALSE,FALSE,TRUE,FALSE,Não,FALSE,Não
19,828,-186.0,21571832,2451296,100,67,13,-194,8107.0,134.0,-214,Não,sim,40.0,7.977.175.244.144.760,0.76,3.232,8.182,67,6.923,1.0,-4.229.931.243.819.690,-5.439.226.424.653.260,1.0,1.8261,9.542,1.0414,1.818,,2.051,112,FALSE,FALSE,FALSE,FALSE,não,TRUE,Não
20,205,228.0,1094338,1094348,100,74,32,12,9115.0,141.0,1366,sim,não,69.0,756.553.531.020.835,3.002,6.783,4.348,168,7.188,8.333,4.396.946.306.764.660,4.396.946.306.764.660,0.0,1.8692,1.3617,1.0,-5.652,-377,3.819,110,FALSE,FALSE,FALSE,FALSE,Não,FALSE,Sim
21,41,218.0,2698232,2698294,100,6327,275,148,660291.0,126.0,1358,Não,sim,40.0,9.562.086.852.075.420,604,4.235,3.503,1.303,6.436,4.189,-6.773.289.014.596.060,9.322.671.098.540.390,0.0,3.8012,2.248,1.7924,-6.497,-1.847,1.0,40,FALSE,FALSE,TRUE,FALSE,não,FALSE,Não
22,142,155.0,1723382,-166,100,60,20,11,6260.0,117.0,1360,Sim,Não,70.0,7.972.967.823.992.060,2.088,5.385,7.692,96,0.65,9.091,15.155.712.748.669.900,2.996.227.066.064.590,0.0,1.7781,1.1139,1.0,-2.308,-1.849,2.408,96,FALSE,TRUE,FALSE,FALSE,não,FALSE,Não
23,81,216.0,425023,425176,100,5027,748,403,611544.0,143.0,1358,sim,não,70.0,4.863.055.589.367.990,1.193,7.566,8.824,994,1.805,3.796,572.575.544.135.963,-42.742.445.586.403.700,1.0,3.7013,2.1303,2.1847,1.177,-496,1.0,93,FALSE,TRUE,FALSE,FALSE,não,FALSE,Não
24,932,943.0,3020344,3020360,100,128,12,16,13996.0,126.0,1687,não,Sim,50.0,7.557.437.737.692.420,882,2.727,6.875,65,9.167,1.0,-1.633.148.173.575.540,-1.633.148.173.575.540,1.0,2.1072,1.0414,1.2041,3.125,-1.458,3.012,88,FALSE,FALSE,FALSE,FALSE,Não,TRUE,Não
25,-11,308.0,1323717,1323745,100,222,25,-194,25660.0,125.0,1358,Sim,Não,70.0,10.071.174.883.475.900,433,4.337,,103,0.56,9.655,10.332.767.769.129.500,3.327.677.691.295.980,1.0,2.3463,1.1461,1.4472,0.5,-97,6.453,104,FALSE,TRUE,FALSE,FALSE,Não,FALSE,Não
26,4174,817.0,151240,151265,100,-206,32,25,16759.0,134.0,1372,Não,Sim,-154.0,688.295.733.923.845,809,5.908,0.52,95,4.063,1.0,-3.452.980.732.266.900,-3.452.980.732.266.900,1.0,2.1239,1.1139,1.3979,0.48,-156,5.378,114,FALSE,FALSE,FALSE,FALSE,Não,FALSE,Sim
27,1578,1592.0,178458,178484,100,168,36,29,18671.0,124.0,1692,Não,sim,300.0,9.217.536.135.788.930,1.182,5.385,5.385,83,3.889,8.965,11.270.940.550.370.100,11.270.940.550.370.100,1.0,2.2253,1.1461,1.415,4.615,-1.317,6.015,99,FALSE,FALSE,FALSE,FALSE,não,FALSE,Sim
28,275,299.0,1133715,1133734,100,318,39,32,39911.0,140.0,1364,não,Sim,40.0,9.042.471.058.957.080,4.032,3.026,7.917,176,6.154,5.938,-1.801.916.069.756.410,-1.801.916.069.756.410,0.0,2.5024,1.3802,1.2787,-2.083,-195,7.359,116,FALSE,FALSE,FALSE,FALSE,Não,FALSE,Sim
29,251,-186.0,961360,961371,100,67,11,11,7550.0,125.0,1364,sim,não,70.0,7.744.115.374.613.210,368,3.232,8.182,66,8.182,1.0,26.022.987.431.958.400,45.917.426.865.623.100,1.0,1.8261,9.542,1.0414,1.818,-1.196,2.051,99,FALSE,FALSE,FALSE,FALSE,não,TRUE,Não
